# obtained text file "Affyprobeset.fcvalue", downloaded on 1 July 2016 from 
# http://halfonlab.ccr.buffalo.edu/platinum_spike/Affyprobeset.fcvalue
"probe.set.id","fold.change"
1623472_at,1
1623473_at,1.7
1623474_at,0
1623475_s_at,1
1623476_at,0
1623477_at,0
1623478_at,0
1623479_at,MC
1623480_at,1
1623481_at,1.5
1623482_at,0
1623483_at,0
1623484_at,0
1623485_at,0
1623486_at,0
1623487_at,1
1623488_at,0
1623489_at,0
1623490_at,0
1623491_at,0
1623492_a_at,1
1623493_at,0
1623494_at,3
1623495_at,0
1623496_at,0
1623497_at,0
1623498_at,0.285714285714286
1623499_at,0
1623500_at,0
1623501_at,0
1623502_at,0
1623503_at,1
1623504_at,0
1623505_s_at,1
1623506_s_at,0
1623507_at,0
1623508_at,0
1623509_at,0
1623510_at,2
1623511_at,0
1623512_at,0
1623513_at,1
1623514_a_at,1
1623515_at,0
1623516_s_at,1
1623517_at,0
1623518_s_at,1
1623519_at,1
1623520_a_at,3.5
1623521_at,0
1623522_at,0
1623523_at,0
1623524_at,0
1623525_at,1
1623526_at,0
1623527_at,0
1623528_a_at,0
1623529_s_at,0
1623530_at,0
1623531_at,0
1623532_at,0
1623533_at,0
1623534_at,0
1623535_at,0
1623536_s_at,1
1623537_at,0
1623538_at,0
1623539_at,0
1623540_at,0
1623541_at,0
1623542_at,0
1623543_at,1
1623544_at,0
1623545_at,1
1623546_at,0
1623547_at,0
1623548_at,0
1623549_at,0
1623550_at,0
1623551_at,0
1623552_s_at,0
1623553_a_at,3.5
1623554_at,0.666666666666667
1623555_at,3.5
1623556_at,0
1623557_at,0
1623558_at,1
1623559_s_at,0
1623560_at,0
1623561_at,0
1623562_at,0
1623563_at,0
1623564_at,0
1623565_at,1
1623566_at,0
1623567_at,0
1623568_at,0
1623569_at,0
1623570_at,0.25
1623571_a_at,1
1623572_at,1
1623573_s_at,1
1623574_at,0
1623575_at,0
1623576_at,0
1623577_at,0
1623578_at,0
1623579_at,0
1623580_at,0
1623581_at,0
1623582_at,1.5
1623583_at,1
1623584_at,1
1623585_at,0
1623586_a_at,0
1623587_at,0
1623588_at,1
1623589_a_at,1
1623590_s_at,3
1623591_a_at,0
1623592_at,0
1623593_at,0
1623594_at,1
1623595_at,0.285714285714286
1623596_at,0
1623597_s_at,0
1623598_at,0
1623599_at,0.25
1623600_at,0
1623601_at,1
1623602_a_at,0
1623603_at,1.7
1623604_at,0.666666666666667
1623605_a_at,1
1623606_at,0
1623607_at,2
1623608_at,0
1623609_at,0
1623610_at,0
1623611_at,0
1623612_at,1
1623613_at,0
1623614_at,0
1623615_at,0.833333333333333
1623616_at,0
1623617_at,0
1623618_at,0
1623619_at,0
1623620_a_at,0
1623621_at,0
1623622_a_at,0
1623623_at,0
1623624_at,1
1623625_at,1
1623626_a_at,1
1623627_at,0
1623628_at,0
1623629_at,0
1623630_at,0
1623631_at,1
1623632_s_at,0.833333333333333
1623633_at,0
1623634_at,0
1623635_at,0
1623636_at,0
1623637_s_at,0
1623638_a_at,0
1623639_at,0
1623640_at,0
1623641_at,0
1623642_at,0
1623643_s_at,0.666666666666667
1623644_s_at,0
1623645_a_at,1
1623646_at,0
1623647_at,0
1623648_s_at,1
1623649_at,0
1623650_a_at,0
1623651_at,0
1623652_at,1
1623653_at,0
1623654_at,0
1623655_at,0
1623656_s_at,3.5
1623657_at,0
1623658_at,0
1623659_at,0
1623660_at,0
1623661_at,0
1623662_at,2
1623663_a_at,0
1623664_at,0.25
1623665_at,0
1623666_at,0
1623667_at,0
1623668_at,0
1623669_at,0
1623670_at,0
1623671_at,0
1623672_at,0
1623673_at,0.285714285714286
1623674_at,0
1623675_at,0
1623676_at,0
1623677_at,0
1623678_at,1
1623679_at,0
1623680_at,0
1623681_at,0
1623682_a_at,0
1623683_at,0
1623684_at,0
1623685_at,0
1623686_at,1
1623687_at,0
1623688_at,0
1623689_a_at,1
1623690_at,0
1623691_at,1
1623692_s_at,1
1623693_a_at,0.666666666666667
1623694_at,0
1623695_a_at,1
1623696_at,1.7
1623697_s_at,0
1623698_s_at,1
1623699_a_at,MC
1623700_at,1
1623701_at,0
1623702_at,2
1623703_at,0
1623704_at,1
1623705_at,0
1623706_at,0
1623707_a_at,0
1623708_at,0
1623709_at,0
1623710_at,0
1623711_at,0
1623712_at,1
1623713_at,0
1623714_at,0
1623715_at,0
1623716_at,1
1623717_at,0
1623718_at,0
1623719_at,0
1623720_at,0
1623721_at,0
1623722_at,0
1623723_at,0
1623724_at,0
1623725_at,0
1623726_at,0
1623727_at,0
1623728_at,0
1623729_at,1
1623730_at,0
1623731_at,0
1623732_at,0
1623733_at,0
1623734_at,0
1623735_at,0
1623736_at,0
1623737_a_at,1
1623738_at,0
1623739_at,MC
1623740_at,0
1623741_at,0
1623742_at,1
1623743_at,1
1623744_at,0
1623745_at,1
1623746_a_at,0
1623747_at,0
1623748_at,0
1623749_at,0
1623750_at,0
1623751_at,0
1623752_at,0
1623753_at,1
1623754_s_at,0
1623755_at,1
1623756_at,0
1623757_at,0
1623758_at,0
1623759_at,0
1623760_at,0
1623761_at,0
1623762_at,1
1623763_at,0
1623764_at,0
1623765_at,0
1623766_at,0
1623767_at,0
1623768_at,0
1623769_at,0
1623770_at,0
1623771_at,1
1623772_a_at,0
1623773_at,0
1623774_at,0
1623775_at,0
1623776_s_at,1
1623777_s_at,0
1623778_at,1
1623779_at,0
1623780_at,0
1623781_at,0
1623782_at,0
1623783_at,1
1623784_at,0
1623785_a_at,1
1623786_at,0
1623787_at,1
1623788_at,1
1623789_at,0
1623790_at,0
1623791_s_at,0
1623792_a_at,1
1623793_at,0
1623794_at,1
1623795_at,0
1623796_at,0
1623797_at,1.5
1623798_at,2
1623799_a_at,1
1623800_at,0
1623801_at,0
1623802_at,0
1623803_at,0
1623804_a_at,1
1623805_at,MC
1623806_at,MF
1623807_a_at,MC
1623808_s_at,0
1623809_s_at,0
1623810_at,1
1623811_at,0
1623812_at,0
1623813_at,0.25
1623814_at,0
1623815_at,0
1623816_s_at,0
1623817_at,1.7
1623818_at,0
1623819_at,1.5
1623820_at,1
1623821_at,0
1623822_at,0
1623823_a_at,0
1623824_at,0
1623825_s_at,0
1623826_at,0
1623827_a_at,0
1623828_at,0
1623829_at,0
1623830_at,1
1623831_x_at,0
1623832_a_at,0
1623833_at,0
1623834_at,0
1623835_at,0
1623836_at,0
1623837_at,0
1623838_s_at,0
1623839_at,1
1623840_at,0
1623841_at,0
1623842_a_at,MC
1623843_at,1.5
1623844_at,0
1623845_s_at,0
1623846_at,0
1623847_at,0.833333333333333
1623848_a_at,0
1623849_s_at,0
1623850_at,0
1623851_at,3.5
1623852_at,0
1623853_at,0
1623854_at,0
1623855_s_at,1
1623856_at,0
1623857_at,0
1623858_at,0.666666666666667
1623859_at,0
1623860_at,1
1623861_at,1
1623862_at,3.5
1623863_a_at,0
1623864_at,1
1623865_at,0
1623866_at,0
1623867_at,0
1623868_a_at,0
1623869_at,1
1623870_at,0
1623871_at,0
1623872_at,1
1623873_at,0.285714285714286
1623874_at,1
1623875_at,1
1623876_at,0
1623877_a_at,0
1623878_at,1
1623879_at,0
1623880_at,0
1623881_s_at,0
1623882_at,0
1623883_at,0
1623884_at,0
1623885_at,1
1623886_at,0
1623887_at,0.4
1623888_at,0
1623889_at,0
1623890_at,0
1623891_at,0
1623892_at,0
1623893_at,3.5
1623894_a_at,1
1623895_at,0
1623896_a_at,1
1623897_at,0
1623898_at,0
1623899_at,1
1623900_a_at,0
1623901_s_at,1
1623902_at,0
1623903_at,0
1623904_a_at,0
1623905_s_at,0
1623906_at,0
1623907_at,0
1623908_at,0
1623909_s_at,0
1623910_at,0
1623911_at,0
1623912_at,0
1623913_at,0
1623914_at,0
1623915_at,0
1623916_at,0
1623917_a_at,0
1623918_at,1
1623919_a_at,0.4
1623920_at,0
1623921_at,0
1623922_at,0
1623923_a_at,1
1623924_at,2
1623925_at,0
1623926_at,1.5
1623927_at,0
1623928_at,0
1623929_at,0
1623930_s_at,0
1623931_s_at,0
1623932_at,0.666666666666667
1623933_at,0
1623934_at,0
1623935_at,0.666666666666667
1623936_at,1.5
1623937_at,0
1623938_at,0
1623939_at,0
1623940_at,0.666666666666667
1623941_at,0
1623942_at,0
1623943_at,0
1623944_at,0
1623945_at,0
1623946_at,0
1623947_at,0
1623948_at,0
1623949_s_at,0
1623950_s_at,1.7
1623951_at,0
1623952_a_at,1
1623953_at,0
1623954_s_at,1.5
1623955_at,0
1623956_at,1
1623957_s_at,1
1623958_at,0
1623959_at,1
1623960_s_at,0
1623961_at,0
1623962_x_at,0
1623963_at,0
1623964_at,0
1623965_at,0
1623966_s_at,0
1623967_at,0
1623968_at,1
1623969_at,1
1623970_at,0
1623971_at,0
1623972_a_at,0.285714285714286
1623973_at,0
1623974_at,0
1623975_at,1
1623976_at,0
1623977_at,1
1623978_at,0
1623979_at,0
1623980_at,0
1623981_at,0
1623982_s_at,0
1623983_at,0
1623984_s_at,0
1623985_at,1
1623986_at,0
1623987_at,0
1623988_at,0
1623989_at,1
1623990_at,0
1623991_s_at,1
1623992_at,0
1623993_at,1
1623994_at,0
1623995_at,0
1623996_at,0
1623997_s_at,0
1623998_at,1
1623999_at,0
1624000_at,0
1624001_at,0
1624002_a_at,0
1624003_at,1
1624004_s_at,1
1624005_at,0
1624006_at,1
1624007_at,1
1624008_at,1.7
1624009_at,0
1624010_a_at,0
1624011_at,0
1624012_at,1.5
1624013_at,0
1624014_at,0
1624015_at,0
1624016_at,0
1624017_at,0
1624018_at,0
1624019_s_at,1
1624020_at,0
1624021_a_at,0.4
1624022_at,1
1624023_at,0.4
1624024_s_at,0
1624025_at,0
1624026_at,0
1624027_at,0
1624028_at,0
1624029_at,3.5
1624030_at,0
1624031_at,0
1624032_at,1
1624033_at,1.7
1624034_at,0
1624035_a_at,1
1624036_at,1
1624037_s_at,0
1624038_at,0
1624039_at,0
1624040_at,0
1624041_at,1
1624042_at,0
1624043_at,0
1624044_at,0.833333333333333
1624045_at,0
1624046_at,0
1624047_at,0
1624048_at,0
1624049_at,0
1624050_at,1.7
1624051_at,0.666666666666667
1624052_at,0
1624053_at,0
1624054_at,1
1624055_at,0
1624056_a_at,0
1624057_at,0
1624058_at,0
1624059_at,1
1624060_at,0
1624061_at,0
1624062_at,0
1624063_at,0
1624064_at,0
1624065_at,2
1624066_at,0
1624067_at,0
1624068_at,0
1624069_at,0
1624070_at,1
1624071_at,0
1624072_at,0
1624073_at,0
1624074_at,0
1624075_at,0
1624076_at,0
1624077_at,0
1624078_at,0
1624079_a_at,0
1624080_s_at,MC
1624081_at,0
1624082_at,0
1624083_s_at,1.7
1624084_s_at,0
1624085_at,0
1624086_at,1
1624087_at,0
1624088_at,1
1624089_at,0
1624090_at,0
1624091_at,0
1624092_at,0
1624093_at,1
1624094_at,0
1624095_at,0
1624096_at,0
1624097_s_at,1
1624098_s_at,1
1624099_at,0
1624100_at,0
1624101_at,1
1624102_at,0
1624103_at,0
1624104_at,0
1624105_at,1
1624106_at,1
1624107_at,0
1624108_at,0
1624109_s_at,1.5
1624110_at,0
1624111_at,0
1624112_at,0
1624113_at,1
1624114_at,0
1624115_s_at,0
1624116_at,0
1624117_at,1
1624118_at,0
1624119_at,1
1624120_at,0
1624121_at,0
1624122_a_at,0.833333333333333
1624123_at,0
1624124_at,0
1624125_at,1
1624126_at,3
1624127_at,0
1624128_at,0
1624129_s_at,1
1624130_at,0
1624131_at,1
1624132_at,3.5
1624133_at,0
1624134_a_at,1
1624135_at,1
1624136_at,0
1624137_at,3.5
1624138_at,0
1624139_at,1
1624140_at,0
1624141_at,0
1624142_a_at,0.4
1624143_a_at,0
1624144_at,0
1624145_a_at,0.4
1624146_at,0
1624147_at,3
1624148_at,0
1624149_at,0.25
1624150_at,1
1624151_a_at,0.25
1624152_at,0.285714285714286
1624153_at,1
1624154_at,1
1624155_at,0
1624156_at,1
1624157_at,3.5
1624158_at,0
1624159_at,0
1624160_at,1
1624161_at,1
1624162_at,0
1624163_at,0
1624164_s_at,3
1624165_a_at,0
1624166_x_at,0
1624167_at,0
1624168_at,0
1624169_at,0
1624170_at,0
1624171_at,0
1624172_at,0
1624173_at,0
1624174_at,0
1624175_at,0
1624176_at,0
1624177_at,0
1624178_s_at,0
1624179_at,0
1624180_at,0
1624181_at,1
1624182_at,0
1624183_a_at,1
1624184_at,0
1624185_at,0
1624186_at,0
1624187_at,0
1624188_at,0
1624189_at,1
1624190_at,1
1624191_at,0
1624192_at,0
1624193_s_at,0
1624194_a_at,0
1624195_at,0.285714285714286
1624196_at,0
1624197_a_at,1
1624198_at,0.666666666666667
1624199_at,1
1624200_at,0
1624201_at,0
1624202_a_at,0
1624203_s_at,0
1624204_at,0
1624205_at,1
1624206_at,0
1624207_at,0
1624208_s_at,0
1624209_at,0
1624210_at,MC
1624211_at,1
1624212_at,0
1624213_at,0
1624214_at,0.25
1624215_s_at,0
1624216_at,0
1624217_at,0
1624218_at,0
1624219_s_at,MC
1624220_s_at,0
1624221_at,0
1624222_s_at,1
1624223_at,0
1624224_at,0
1624225_at,0
1624226_at,0
1624227_at,0
1624228_at,0.25
1624229_at,0
1624230_s_at,0
1624231_s_at,1
1624232_at,0
1624233_at,0
1624234_at,0
1624235_at,0
1624236_at,1
1624237_at,1
1624238_at,0
1624239_at,0
1624240_at,1.7
1624241_at,1
1624242_at,0
1624243_at,0
1624244_at,0
1624245_at,0
1624246_s_at,1
1624247_at,MC
1624248_s_at,0
1624249_at,0
1624250_at,1
1624251_a_at,0.666666666666667
1624252_s_at,1
1624253_at,0
1624254_at,0
1624255_at,0
1624256_at,MC
1624257_at,0.285714285714286
1624258_at,0
1624259_at,0
1624260_at,0
1624261_at,0
1624262_at,0
1624263_at,0
1624264_at,0
1624265_at,0
1624266_at,0
1624267_at,0
1624268_at,0
1624269_at,MC
1624270_at,0
1624271_at,3.5
1624272_at,0
1624273_at,1
1624274_at,1
1624275_at,1
1624276_at,1
1624277_at,0
1624278_at,0
1624279_at,0
1624280_at,3.5
1624281_at,0
1624282_s_at,0
1624283_at,0
1624284_a_at,MC
1624285_at,3.5
1624286_at,0
1624287_at,0
1624288_at,0
1624289_at,3.5
1624290_at,0.833333333333333
1624291_at,0
1624292_a_at,0
1624293_at,3.5
1624294_at,0
1624295_at,0
1624296_at,0
1624297_at,0
1624298_at,0
1624299_at,0
1624300_s_at,1
1624301_at,1
1624302_at,0
1624303_at,0
1624304_s_at,1
1624305_at,0
1624306_at,0
1624307_at,0
1624308_at,0
1624309_s_at,0
1624310_s_at,0
1624311_at,0
1624312_at,3.5
1624313_at,0.833333333333333
1624314_at,0
1624315_at,0
1624316_at,0
1624317_at,0
1624318_at,1
1624319_at,0
1624320_at,0
1624321_at,MC
1624322_at,1.7
1624323_at,0
1624324_a_at,0
1624325_at,0
1624326_at,0
1624327_at,0
1624328_a_at,0
1624329_at,0
1624330_s_at,0.285714285714286
1624331_at,1.5
1624332_s_at,0
1624333_at,0
1624334_at,0
1624335_at,0
1624336_at,0
1624337_at,0
1624338_at,0
1624339_at,0
1624340_at,0
1624341_a_at,0
1624342_at,0
1624343_at,0
1624344_at,1
1624345_a_at,0
1624346_at,0
1624347_s_at,0
1624348_a_at,1
1624349_at,0
1624350_at,0
1624351_at,0
1624352_at,0
1624353_at,0
1624354_at,0.285714285714286
1624355_at,1
1624356_at,0
1624357_at,0
1624358_at,0
1624359_at,0
1624360_at,0
1624361_s_at,1
1624362_at,0
1624363_at,0
1624364_at,1
1624365_at,0.285714285714286
1624366_at,0
1624367_at,0
1624368_at,MC
1624369_at,0
1624370_at,0
1624371_a_at,0
1624372_at,1
1624373_at,1
1624374_at,0
1624375_at,0
1624376_at,0
1624377_s_at,0
1624378_at,1
1624379_s_at,0
1624380_at,0
1624381_at,0
1624382_at,0
1624383_at,0
1624384_at,0
1624385_at,1.5
1624386_at,0.285714285714286
1624387_at,1
1624388_at,0
1624389_at,1
1624390_a_at,2
1624391_at,0
1624392_s_at,1
1624393_at,0
1624394_at,0
1624395_at,0
1624396_at,1
1624397_at,0
1624398_at,0
1624399_at,3.5
1624400_a_at,0
1624401_at,0
1624402_at,0
1624403_at,0
1624404_a_at,0
1624405_a_at,0
1624406_at,1.7
1624407_s_at,1.5
1624408_at,0
1624409_a_at,3.5
1624410_at,0.25
1624411_at,0
1624412_at,2
1624413_at,1
1624414_at,0
1624415_s_at,1.7
1624416_at,0
1624417_a_at,1
1624418_s_at,1
1624419_a_at,1.7
1624420_at,0
1624421_at,0
1624422_at,0
1624423_at,0
1624424_at,0
1624425_at,1
1624426_at,0
1624427_at,0
1624428_at,0
1624429_at,0
1624430_at,0
1624431_at,0
1624432_at,0
1624433_at,3.5
1624434_at,1
1624435_at,3.5
1624436_at,0
1624437_s_at,0
1624438_at,0
1624439_at,0
1624440_at,1
1624441_at,0
1624442_at,0
1624443_s_at,0
1624444_at,0
1624445_at,0
1624446_at,0
1624447_s_at,1
1624448_at,0
1624449_at,MC
1624450_at,1
1624451_at,0
1624452_a_at,0
1624453_at,0
1624454_at,0
1624455_at,0
1624456_at,0
1624457_at,0
1624458_at,0
1624459_at,0
1624460_s_at,3.5
1624461_at,0
1624462_at,1.7
1624463_s_at,1
1624464_s_at,1
1624465_at,1
1624466_a_at,0.4
1624467_a_at,1
1624468_a_at,1
1624469_at,0
1624470_at,0.666666666666667
1624471_s_at,0
1624472_at,0
1624473_at,1.7
1624474_at,0.666666666666667
1624475_at,1
1624476_at,2
1624477_at,0
1624478_at,0
1624479_at,0
1624480_at,0
1624481_a_at,1
1624482_at,0
1624483_at,0
